timestamp,cpu_pct,mem_pct,mem_used_gib,mem_total_gib,swap_pct,swap_used_gib,swap_total_gib,npu_pct
2026-07-07 11:13:12,80,67,42.29,62.30,5,2.31,40.00,0
2026-07-07 11:13:17,99,67,42.27,62.30,5,2.31,40.00,0
2026-07-07 11:13:22,99,67,42.27,62.30,5,2.31,40.00,0
2026-07-07 11:13:27,99,67,42.27,62.30,5,2.31,40.00,0
2026-07-07 11:13:32,99,67,42.27,62.30,5,2.31,40.00,0
2026-07-07 11:13:37,99,67,42.27,62.30,5,2.31,40.00,0
2026-07-07 11:13:42,99,67,42.28,62.30,5,2.31,40.00,0
2026-07-07 11:13:47,99,67,42.28,62.30,5,2.31,40.00,0
2026-07-07 11:13:52,99,67,42.28,62.30,5,2.31,40.00,0
2026-07-07 11:13:57,99,67,42.28,62.30,5,2.31,40.00,0
2026-07-07 11:14:02,99,67,42.28,62.30,5,2.31,40.00,0
2026-07-07 11:14:07,99,67,42.28,62.30,5,2.31,40.00,0
